"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"VIDISMedicationSchema","VIDISMedicationSchema","","","",0,*,"","","","null {[]} {[]}
","VIDIS MS","VIDIS MedicationSchema Data Model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VIDISMedicationSchema.identifier","VIDISMedicationSchema.identifier","","","",0,*,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/II]]} {[]}
","Identifier of the schema","Unique identifier for the schema","","","","","","","","","",,,,,"",,,,"VIDISMedicationSchema.identifier",0,*,"",""
"VIDISMedicationSchema.version","VIDISMedicationSchema.version","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/II]]} {[]}
","Unique version identifier for the schema","Unique version identifier for the schema","","","","","","","","","",,,,,"",,,,"VIDISMedicationSchema.version",1,1,"",""
"VIDISMedicationSchema.type","VIDISMedicationSchema.type","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/CD]]} {[]}
","Type of schema","Type of schema","","","","","","","","","",,,,,"",,,,"VIDISMedicationSchema.type",1,1,"",""
"VIDISMedicationSchema.author","VIDISMedicationSchema.author","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/II]]} {[]}
","Who recorded the entry","Unique identifier of the person who is responsible for the information content. Should be an NISS or BIS number","","","","","","","","","",,,,,"",,,,"VIDISMedicationSchema.author",1,1,"",""
"VIDISMedicationSchema.authoredDate","VIDISMedicationSchema.authoredDate","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/DT]]} {[]}
","date/time when entered","date/time when entered","","","","","","","","","",,,,,"",,,,"VIDISMedicationSchema.authoredDate",1,1,"",""
"VIDISMedicationSchema.patient","VIDISMedicationSchema.patient","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/II]]} {[]}
","Identifier or reference to the patient","Identifier or reference to the patient. Should be an NISS or BIS number","","","","","","","","","",,,,,"",,,,"VIDISMedicationSchema.patient",1,1,"",""
"VIDISMedicationSchema.medicationLine","VIDISMedicationSchema.medicationLine","","","",0,*,"","","","BackboneElement {[CanonicalType[http://example.com/fhir/example/StructureDefinition/class]]} {[]}
","A line of medication","A line of medication","","","","","","","","","",,,,,"",,,,"VIDISMedicationSchema.medicationLine",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"VIDISMedicationSchema.medicationLine.id","VIDISMedicationSchema.medicationLine.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"VIDISMedicationSchema.medicationLine.extension","VIDISMedicationSchema.medicationLine.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
